figure,series,id,gflops
multicolmajor,MpGEMM,13,2955
multicolmajor,Accelerate,14,2695
multicolmajor,MpGEMM,14,2896
multicolmajor,Accelerate,15,2457
multicolmajor,MpGEMM,15,2644
multicolmajor,Accelerate,16,2948
multicolmajor,MpGEMM,16,3039
multicolmajor,Accelerate,17,2879
multicolmajor,MpGEMM,17,3014
multicolmajor,Accelerate,18,3048
multicolmajor,MpGEMM,18,2963
multicolmajor,Accelerate,19,2261
multicolmajor,MpGEMM,19,2831
multicolmajor,Accelerate,20,2818
multicolmajor,MpGEMM,20,3012
multicolmajor,Accelerate,21,2245
multicolmajor,MpGEMM,21,3004
multicolmajor,Accelerate,22,2349
multicolmajor,MpGEMM,22,2943
multicolmajor,Accelerate,23,2657
multicolmajor,MpGEMM,23,2948
multicolmajor,Accelerate,24,2289
multicolmajor,MpGEMM,24,3042
multicolmajor,Accelerate,geo,2142
multicolmajor,MpGEMM,geo,2604
singlerowmajor-fp64,Accelerate-Serial,1,337
singlerowmajor-fp64,MpGEMM-Serial,1,335
singlerowmajor-fp64,Accelerate-Parallel,1,663
singlerowmajor-fp64,MpGEMM-Parallel,1,639
singlerowmajor-fp64,Accelerate-Serial,2,229
singlerowmajor-fp64,MpGEMM-Serial,2,306
singlerowmajor-fp64,Accelerate-Parallel,2,459
singlerowmajor-fp64,MpGEMM-Parallel,2,653
singlerowmajor-fp64,Accelerate-Serial,3,235
singlerowmajor-fp64,MpGEMM-Serial,3,316
singlerowmajor-fp64,Accelerate-Parallel,3,464
singlerowmajor-fp64,MpGEMM-Parallel,3,635
singlerowmajor-fp64,Accelerate-Serial,4,228
singlerowmajor-fp64,MpGEMM-Serial,4,307
singlerowmajor-fp64,Accelerate-Parallel,4,452
singlerowmajor-fp64,MpGEMM-Parallel,4,693
singlerowmajor-fp64,Accelerate-Serial,5,233
singlerowmajor-fp64,MpGEMM-Serial,5,319
singlerowmajor-fp64,Accelerate-Parallel,5,468
singlerowmajor-fp64,MpGEMM-Parallel,5,649
singlerowmajor-fp64,Accelerate-Serial,6,237
singlerowmajor-fp64,MpGEMM-Serial,6,313
singlerowmajor-fp64,Accelerate-Parallel,6,474
singlerowmajor-fp64,MpGEMM-Parallel,6,608
singlerowmajor-fp64,Accelerate-Serial,7,381
singlerowmajor-fp64,MpGEMM-Serial,7,391
singlerowmajor-fp64,Accelerate-Parallel,7,744
singlerowmajor-fp64,MpGEMM-Parallel,7,732
singlerowmajor-fp64,Accelerate-Serial,8,297
singlerowmajor-fp64,MpGEMM-Serial,8,361
singlerowmajor-fp64,Accelerate-Parallel,8,592
singlerowmajor-fp64,MpGEMM-Parallel,8,744
singlerowmajor-fp64,Accelerate-Serial,9,299
singlerowmajor-fp64,MpGEMM-Serial,9,381
singlerowmajor-fp64,Accelerate-Parallel,9,596
singlerowmajor-fp64,MpGEMM-Parallel,9,755
singlerowmajor-fp64,Accelerate-Serial,10,296
singlerowmajor-fp64,MpGEMM-Serial,10,356
singlerowmajor-fp64,Accelerate-Parallel,10,590
singlerowmajor-fp64,MpGEMM-Parallel,10,787
singlerowmajor-fp64,Accelerate-Serial,11,305
singlerowmajor-fp64,MpGEMM-Serial,11,366
singlerowmajor-fp64,Accelerate-Parallel,11,610
singlerowmajor-fp64,MpGEMM-Parallel,11,762
singlerowmajor-fp64,Accelerate-Serial,12,308
singlerowmajor-fp64,MpGEMM-Serial,12,367
singlerowmajor-fp64,Accelerate-Parallel,12,613
singlerowmajor-fp64,MpGEMM-Parallel,12,723
singlerowmajor-fp64,Accelerate-Serial,13,393
singlerowmajor-fp64,MpGEMM-Serial,13,420
singlerowmajor-fp64,Accelerate-Parallel,13,790
singlerowmajor-fp64,MpGEMM-Parallel,13,849
singlerowmajor-fp64,Accelerate-Serial,14,388
singlerowmajor-fp64,MpGEMM-Serial,14,420
singlerowmajor-fp64,Accelerate-Parallel,14,774
singlerowmajor-fp64,MpGEMM-Parallel,14,857
singlerowmajor-fp64,Accelerate-Serial,15,398
singlerowmajor-fp64,MpGEMM-Serial,15,455
singlerowmajor-fp64,Accelerate-Parallel,15,797
singlerowmajor-fp64,MpGEMM-Parallel,15,910
singlerowmajor-fp64,Accelerate-Serial,16,390
singlerowmajor-fp64,MpGEMM-Serial,16,412
singlerowmajor-fp64,Accelerate-Parallel,16,781
singlerowmajor-fp64,MpGEMM-Parallel,16,876
singlerowmajor-fp64,Accelerate-Serial,17,393
singlerowmajor-fp64,MpGEMM-Serial,17,412
singlerowmajor-fp64,Accelerate-Parallel,17,784
singlerowmajor-fp64,MpGEMM-Parallel,17,860
singlerowmajor-fp64,Accelerate-Serial,18,403
singlerowmajor-fp64,MpGEMM-Serial,18,431
singlerowmajor-fp64,Accelerate-Parallel,18,803
singlerowmajor-fp64,MpGEMM-Parallel,18,869
singlerowmajor-fp64,Accelerate-Serial,19,375
singlerowmajor-fp64,MpGEMM-Serial,19,412
singlerowmajor-fp64,Accelerate-Parallel,19,758
singlerowmajor-fp64,MpGEMM-Parallel,19,803
singlerowmajor-fp64,Accelerate-Serial,20,376
singlerowmajor-fp64,MpGEMM-Serial,20,418
singlerowmajor-fp64,Accelerate-Parallel,20,751
singlerowmajor-fp64,MpGEMM-Parallel,20,856
singlerowmajor-fp64,Accelerate-Serial,21,373
singlerowmajor-fp64,MpGEMM-Serial,21,416
singlerowmajor-fp64,Accelerate-Parallel,21,759
singlerowmajor-fp64,MpGEMM-Parallel,21,839
singlerowmajor-fp64,Accelerate-Serial,22,374
singlerowmajor-fp64,MpGEMM-Serial,22,418
singlerowmajor-fp64,Accelerate-Parallel,22,752
singlerowmajor-fp64,MpGEMM-Parallel,22,834
singlerowmajor-fp64,Accelerate-Serial,23,382
singlerowmajor-fp64,MpGEMM-Serial,23,422
singlerowmajor-fp64,Accelerate-Parallel,23,749
singlerowmajor-fp64,MpGEMM-Parallel,23,848
singlerowmajor-fp64,Accelerate-Serial,24,369
singlerowmajor-fp64,MpGEMM-Serial,24,416
singlerowmajor-fp64,Accelerate-Parallel,24,749
singlerowmajor-fp64,MpGEMM-Parallel,24,871
singlerowmajor-fp64,Accelerate-Serial,geo,327
singlerowmajor-fp64,MpGEMM-Serial,geo,379
singlerowmajor-fp64,Accelerate-Parallel,geo,653
singlerowmajor-fp64,MpGEMM-Parallel,geo,772
