# 2026-09-22 23:15:07 load before: { 2.23 2.52 2.80 } VECLIB_MAXIMUM_THREADS=1
Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-09-22T23:15:08-05:00
Running ./build/gbench
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.23, 2.52, 2.80
------------------------------------------------------------------------------------------------------------------------
Benchmark                                                              Time             CPU   Iterations UserCounters...
gemm/accel_col/128/7168/2048/min_time:0.050/repeats:5_median        3.11 ms         3.11 ms            5 GFLOPS=1.21007k/s
gemm/accel_col/128/7168/2048/min_time:0.050/repeats:5_stddev       0.011 ms        0.010 ms            5 GFLOPS=4.03506/s
gemm/accel_col/128/7168/2048/min_time:0.050/repeats:5_cv            0.34 %          0.33 %             5 GFLOPS=0.33%
gemm/accel_col/128/7168/2048/min_time:0.050/repeats:5_max           3.11 ms         3.11 ms            5 GFLOPS=1.21693k/s
gemm/accel_col/4096/7168/2048/min_time:0.050/repeats:5_mean         78.7 ms         78.7 ms            5 GFLOPS=1.52868k/s
gemm/accel_col/4096/7168/2048/min_time:0.050/repeats:5_median       78.6 ms         78.6 ms            5 GFLOPS=1.52906k/s
gemm/accel_col/4096/7168/2048/min_time:0.050/repeats:5_stddev      0.316 ms        0.357 ms            5 GFLOPS=6.96078/s
gemm/accel_col/4096/7168/2048/min_time:0.050/repeats:5_cv           0.40 %          0.45 %             5 GFLOPS=0.46%
gemm/accel_col/4096/7168/2048/min_time:0.050/repeats:5_max          79.0 ms         79.0 ms            5 GFLOPS=1.5391k/s
gemm/accel_col/4096/256/4096/min_time:0.050/repeats:5_mean          7.18 ms         7.18 ms            5 GFLOPS=1.19724k/s
gemm/accel_col/4096/256/4096/min_time:0.050/repeats:5_median        7.17 ms         7.17 ms            5 GFLOPS=1.19734k/s
gemm/accel_col/4096/256/4096/min_time:0.050/repeats:5_stddev       0.102 ms        0.100 ms            5 GFLOPS=16.6527/s
gemm/accel_col/4096/256/4096/min_time:0.050/repeats:5_cv            1.42 %          1.40 %             5 GFLOPS=1.39%
gemm/accel_col/4096/256/4096/min_time:0.050/repeats:5_max           7.33 ms         7.32 ms            5 GFLOPS=1.21397k/s
gemm/accel_col/5120/256/13824/min_time:0.050/repeats:5_mean         30.7 ms         30.7 ms            5 GFLOPS=1.18152k/s
gemm/accel_col/5120/256/13824/min_time:0.050/repeats:5_median       30.7 ms         30.7 ms            5 GFLOPS=1.18015k/s
gemm/accel_col/5120/256/13824/min_time:0.050/repeats:5_stddev      0.098 ms        0.097 ms            5 GFLOPS=3.74282/s
gemm/accel_col/5120/256/13824/min_time:0.050/repeats:5_cv           0.32 %          0.32 %             5 GFLOPS=0.32%
gemm/accel_col/5120/256/13824/min_time:0.050/repeats:5_max          30.8 ms         30.8 ms            5 GFLOPS=1.18654k/s
gemm/mt_col/4096/4096/4096/min_time:0.050/repeats:5_mean            81.8 ms         81.8 ms            5 GFLOPS=1.68092k/s
gemm/mt_col/4096/4096/4096/min_time:0.050/repeats:5_median          81.7 ms         81.7 ms            5 GFLOPS=1.68179k/s
gemm/mt_col/4096/4096/4096/min_time:0.050/repeats:5_stddev         0.236 ms        0.164 ms            5 GFLOPS=3.374/s
gemm/mt_col/4096/4096/4096/min_time:0.050/repeats:5_cv              0.29 %          0.20 %             5 GFLOPS=0.20%
gemm/mt_col/4096/4096/4096/min_time:0.050/repeats:5_max             82.2 ms         82.0 ms            5 GFLOPS=1.6835k/s
gemm/mt_col/64/2112/7168/min_time:0.050/repeats:5_mean              1.74 ms         1.74 ms            5 GFLOPS=1.11386k/s
gemm/mt_col/64/2112/7168/min_time:0.050/repeats:5_median            1.74 ms         1.73 ms            5 GFLOPS=1.11701k/s
gemm/mt_col/64/2112/7168/min_time:0.050/repeats:5_stddev           0.011 ms        0.010 ms            5 GFLOPS=6.63451/s
gemm/mt_col/64/2112/7168/min_time:0.050/repeats:5_cv                0.65 %          0.60 %             5 GFLOPS=0.60%
gemm/mt_col/64/2112/7168/min_time:0.050/repeats:5_max               1.75 ms         1.75 ms            5 GFLOPS=1.12024k/s
gemm/mt_col/128/7168/2048/min_time:0.050/repeats:5_mean             2.64 ms         2.64 ms            5 GFLOPS=1.4222k/s
gemm/mt_col/128/7168/2048/min_time:0.050/repeats:5_median           2.64 ms         2.64 ms            5 GFLOPS=1.42121k/s
gemm/mt_col/128/7168/2048/min_time:0.050/repeats:5_stddev          0.010 ms        0.009 ms            5 GFLOPS=5.1039/s
gemm/mt_col/128/7168/2048/min_time:0.050/repeats:5_cv               0.37 %          0.36 %             5 GFLOPS=0.36%
gemm/mt_col/128/7168/2048/min_time:0.050/repeats:5_max              2.65 ms         2.65 ms            5 GFLOPS=1.42821k/s
gemm/mt_col/4096/7168/2048/min_time:0.050/repeats:5_mean            73.1 ms         72.9 ms            5 GFLOPS=1.64951k/s
gemm/mt_col/4096/7168/2048/min_time:0.050/repeats:5_median          72.5 ms         72.5 ms            5 GFLOPS=1.65838k/s
gemm/mt_col/4096/7168/2048/min_time:0.050/repeats:5_stddev          1.35 ms         1.06 ms            5 GFLOPS=23.6265/s
gemm/mt_col/4096/7168/2048/min_time:0.050/repeats:5_cv              1.85 %          1.46 %             5 GFLOPS=1.43%
gemm/mt_col/4096/7168/2048/min_time:0.050/repeats:5_max             75.4 ms         74.8 ms            5 GFLOPS=1.66746k/s
gemm/mt_col/4096/256/4096/min_time:0.050/repeats:5_mean             5.52 ms         5.52 ms            5 GFLOPS=1.55518k/s
gemm/mt_col/4096/256/4096/min_time:0.050/repeats:5_median           5.52 ms         5.52 ms            5 GFLOPS=1.55561k/s
gemm/mt_col/4096/256/4096/min_time:0.050/repeats:5_stddev          0.016 ms        0.016 ms            5 GFLOPS=4.42486/s
gemm/mt_col/4096/256/4096/min_time:0.050/repeats:5_cv               0.28 %          0.28 %             5 GFLOPS=0.28%
gemm/mt_col/4096/256/4096/min_time:0.050/repeats:5_max              5.55 ms         5.55 ms            5 GFLOPS=1.55999k/s
gemm/mt_col/5120/256/13824/min_time:0.050/repeats:5_mean            23.2 ms         23.2 ms            5 GFLOPS=1.56318k/s
gemm/mt_col/5120/256/13824/min_time:0.050/repeats:5_median          23.2 ms         23.2 ms            5 GFLOPS=1.56467k/s
gemm/mt_col/5120/256/13824/min_time:0.050/repeats:5_stddev         0.184 ms        0.179 ms            5 GFLOPS=12.028/s
gemm/mt_col/5120/256/13824/min_time:0.050/repeats:5_cv              0.79 %          0.77 %             5 GFLOPS=0.77%
gemm/mt_col/5120/256/13824/min_time:0.050/repeats:5_max             23.5 ms         23.4 ms            5 GFLOPS=1.57933k/s
# load after: { 2.10 2.47 2.78 }
